ticket_id,subject,status,priority,created_date,company_id,contact_id
1,Nation concern happen bit throughout threat.,In Progress,Urgent,2025-04-07,2,57
2,Unit very seat street himself.,Closed,High,2025-01-04,36,144
3,Know onto difficult order.,Escalated,Medium,2025-03-09,6,8
4,Real catch subject.,Open,Urgent,2025-07-27,1,198
5,Mr condition benefit player anyone toward describe.,Open,High,2025-04-07,6,12
6,Mr tough design green.,In Progress,Low,2025-06-24,21,180
7,At sing voice natural conference media yeah.,In Progress,Medium,2025-02-26,33,52
8,Share property anyone opportunity beautiful.,Closed,Medium,2025-08-04,10,55
9,Yard tonight social health support.,Escalated,Medium,2025-07-24,38,113
10,Include stand any evidence push.,In Progress,Low,2025-05-04,8,78
11,Art strong measure federal.,Closed,Urgent,2025-04-23,35,147
12,Beyond after common.,In Progress,Urgent,2025-01-31,33,5
13,Owner for far military truth.,Open,High,2025-05-23,9,90
14,Include institution still century hold another.,Closed,Low,2025-06-05,37,110
15,Support probably simple various upon pass.,Closed,Medium,2025-05-13,38,66
16,Well force single entire body all purpose cold.,In Progress,High,2025-07-16,50,134
17,Teacher project once together call establish.,Open,Urgent,2025-05-18,29,151
18,Note explain within machine letter.,Closed,Medium,2025-05-04,5,76
19,Until run whole always billion.,Closed,High,2025-08-03,27,53
20,Financial discover wear teach.,Open,Urgent,2025-03-19,42,199
21,Factor voice knowledge against.,Open,Low,2025-03-02,16,70
22,Last trade region above here guy.,Closed,Medium,2025-05-13,32,85
23,Green teach speech better free strong case.,Escalated,Medium,2025-07-11,41,48
24,Born movement professional scientist leg range stand.,Escalated,High,2025-01-11,46,14
25,Occur fire attorney.,Closed,High,2025-08-13,12,103
26,Have point several range through four fall.,Open,High,2025-06-10,10,37
27,City student push reflect participant dream those guy.,Escalated,Urgent,2025-05-05,42,171
28,Civil include individual safe need early.,Open,Urgent,2025-01-16,35,27
29,Then loss not sit between laugh company.,In Progress,Medium,2025-08-17,44,112
30,Main lead such current central find sense agreement.,Escalated,High,2025-08-17,46,173
